season,episode,mean_sent,show_number
S01,E01,-0.03,1
S01,E02,-0.06,2
S01,E03,-0.44,3
S01,E04,-0.04,4
S02,E01,-0.15,5
S02,E02,-0.17,6
S02,E03,0.09,7
S02,E04,-0.14,8
S02,E05,-0.12,9
S02,E06,-0.16,10
S02,E07,0.09,11
S02,E08,-0.42,12
S02,E09,0.06,13
S02,E10,-0.48,14
S02,E11,-0.25,15
S02,E12,-0.35,16
S03,E01,-0.35,17
S03,E02,-0.31,18
S03,E03,0.07,19
S03,E04,-0.24,20
S03,E05,-0.45,21
S03,E06,-0.55,22
S03,E07,0.03,23
S03,E08,-0.04,24
S03,E09,0.16,25
S03,E10,-0.08,26
S03,E11,-0.07,27
S03,E12,-0.27,28
S03,E13,-0.21,29
S03,E14,-0.28,30
S03,E15,-0.05,31
S03,E16,0.07,32
S03,E17,-0.15,33
S03,E18,0.2,34
S03,E19,-0.18,35
S03,E20,-0.19,36
S03,E21,0,37
S03,E22,-0.26,38
S03,E23,-0.38,39
S04,E01,-0.11,40
S04,E02,0.01,41
S04,E03,-0.11,42
S04,E04,-0.07,43
S04,E05,-0.27,44
S04,E06,-0.05,45
S04,E07,0.05,46
S04,E08,-0.36,47
S04,E09,-0.14,48
S04,E10,-0.16,49
S04,E11,0.1,50
S04,E12,0.19,51
S04,E13,-0.14,52
S04,E14,-0.24,53
S04,E15,-0.32,54
S04,E16,-0.38,55
S04,E17,-0.32,56
S04,E18,0,57
S04,E19,-0.41,58
S04,E20,0.05,59
S04,E21,-0.36,60
S04,E22,0.26,61
S04,E23,-0.21,62
S04,E24,-0.17,63
S05,E01,0.03,64
S05,E02,-0.06,65
S05,E03,-0.28,66
S05,E04,-0.04,67
S05,E05,-0.5,68
S05,E06,-0.01,69
S05,E07,-0.26,70
S05,E08,0.29,71
S05,E09,-0.01,72
S05,E10,0.03,73
S05,E11,-0.07,74
S05,E12,-0.23,75
S05,E13,-0.22,76
S05,E14,0.14,77
S05,E15,-0.33,78
S05,E16,-0.16,79
S05,E17,0.01,80
S05,E18,0.09,81
S05,E20,0.03,82
S05,E21,0.21,83
S05,E22,-0.07,84
S06,E01,0.01,85
S06,E02,-0.19,86
S06,E03,-0.08,87
S06,E04,-0.22,88
S06,E05,0.3,89
S06,E06,-0.13,90
S06,E07,0.46,91
S06,E08,-0.35,92
S06,E09,0.13,93
S06,E10,-0.04,94
S06,E11,0,95
S06,E12,0.29,96
S06,E13,-0.2,97
S06,E16,-0.01,98
S06,E17,0.06,99
S06,E18,-0.26,100
S06,E19,0.1,101
S06,E20,-0.14,102
S06,E21,-0.09,103
S06,E22,-0.03,104
S06,E23,0.02,105
S06,E24,-0.45,106
S07,E01,0.05,107
S07,E02,-0.02,108
S07,E03,-0.13,109
S07,E04,-0.15,110
S07,E05,-0.23,111
S07,E06,0,112
S07,E07,-0.08,113
S07,E08,-0.28,114
S07,E09,-0.04,115
S07,E10,-0.11,116
S07,E11,0.12,117
S07,E12,-0.26,118
S07,E13,-0.11,119
S07,E14,0.19,120
S07,E15,-0.17,121
S07,E16,-0.13,122
S07,E17,-0.28,123
S07,E18,-0.06,124
S07,E19,0.07,125
S07,E20,-0.13,126
S07,E21,-0.15,127
S07,E22,-0.36,128
S07,E23,-0.15,129
S07,E24,-0.31,130
S08,E01,-0.1,131
S08,E02,-0.1,132
S08,E03,-0.04,133
S08,E04,-0.48,134
S08,E05,0.04,135
S08,E06,-0.24,136
S08,E07,0.07,137
S08,E08,-0.26,138
S08,E09,-0.05,139
S08,E10,-0.28,140
S08,E11,-0.01,141
S08,E12,-0.01,142
S08,E13,-0.37,143
S08,E14,-0.26,144
S08,E15,-0.07,145
S08,E16,-0.15,146
S08,E17,-0.48,147
S08,E18,-0.28,148
S08,E19,-0.18,149
S08,E20,-0.13,150
S08,E21,-0.24,151
S08,E22,-0.1,152
S09,E01,-0.21,153
S09,E02,-0.2,154
S09,E03,0.22,155
S09,E04,-0.18,156
S09,E05,0,157
S09,E06,-0.09,158
S09,E07,-0.15,159
S09,E08,-0.35,160
S09,E09,-0.14,161
S09,E10,-0.01,162
S09,E11,-0.27,163
S09,E12,0.28,164
S09,E13,-0.16,165
S09,E14,-0.32,166
S09,E15,0.1,167
S09,E16,-0.36,168
S09,E17,-0.55,169
S09,E18,-0.17,170
S09,E19,-0.16,171
S09,E20,-0.2,172
S09,E23,-0.05,173
