seid,mean_sent
S01E01,0.2689655172413793
S01E02,0.29651162790697677
S01E03,-0.018518518518518517
S01E04,0.2611464968152866
S02E01,0.25925925925925924
S02E02,0.24
S02E03,0.391304347826087
S02E04,0.3333333333333333
S02E05,0.18452380952380953
S02E06,0.2125
S02E07,0.44680851063829785
S02E08,0
S02E09,0.42105263157894735
S02E10,-0.14285714285714285
S02E11,0.125
S02E12,-0.061946902654867256
S03E01,0.023076923076923078
S03E02,0.019230769230769232
S03E03,0.4794520547945205
S03E04,0.1323529411764706
S03E05,0.0425531914893617
S03E06,-0.13245033112582782
S03E07,0.323943661971831
S03E08,0.3582089552238806
S03E09,0.38016528925619836
S03E10,0.13385826771653545
S03E11,0.3333333333333333
S03E12,0.14473684210526316
S03E13,0.1038961038961039
S03E14,0.09090909090909091
S03E15,0.22123893805309736
S03E16,0.288135593220339
S03E17,0.264
S03E18,0.5304347826086957
S03E19,0.1717171717171717
S03E20,0.3225806451612903
S03E21,0.3776223776223776
S03E22,0.13157894736842105
S03E23,0.16842105263157894
S04E01,0.2982456140350877
S04E02,0.21052631578947367
S04E03,0.3695652173913043
S04E04,0.24347826086956523
S04E05,0.1875
S04E06,0.2485207100591716
S04E07,0.4064516129032258
S04E08,-0.029585798816568046
S04E09,0.33766233766233766
S04E10,0.17964071856287425
S04E11,0.31756756756756754
S04E12,0.4
S04E13,0.21641791044776118
S04E14,0
S04E15,0.18032786885245902
S04E16,0.10606060606060606
S04E17,0.05970149253731343
S04E18,0.4318181818181818
S04E19,0.11904761904761904
S04E20,0.3356643356643357
S04E21,-0.102803738317757
S04E22,0.45569620253164556
S04E23,0.10869565217391304
S04E24,0.16363636363636364
S05E01,0.3597560975609756
S05E02,0.18421052631578946
S05E03,0.11428571428571428
S05E04,0.5504587155963303
S05E05,-0.125
S05E06,0.24074074074074073
S05E07,0.19014084507042253
S05E08,0.5142857142857142
S05E09,0.3076923076923077
S05E10,0.28346456692913385
S05E11,0.33695652173913043
S05E12,0.16049382716049382
S05E13,0.15577889447236182
S05E14,0.35625
S05E15,0.12030075187969924
S05E16,0.11382113821138211
S05E17,0.2524271844660194
S05E18,0.37735849056603776
S05E20,0.312
S05E21,0.46715328467153283
S05E22,0.22018348623853212
S06E01,0.26143790849673204
S06E02,0.27927927927927926
S06E03,0.275
S06E04,0.1870967741935484
S06E05,0.543859649122807
S06E06,0.3157894736842105
S06E07,0.6959459459459459
S06E08,0.23469387755102042
S06E09,0.44025157232704404
S06E10,0.3548387096774194
S06E11,0.3716216216216216
S06E12,0.5
S06E13,0.23170731707317074
S06E16,0.2981366459627329
S06E17,0.33548387096774196
S06E18,0.13829787234042554
S06E19,0.48360655737704916
S06E20,0.21830985915492956
S06E21,0.336
S06E22,0.390625
S06E23,0.38064516129032255
S06E24,0
S07E01,0.45112781954887216
S07E02,0.3558282208588957
S07E03,0.23129251700680273
S07E04,0.22807017543859648
S07E05,0.018404907975460124
S07E06,0.45098039215686275
S07E07,0.17142857142857143
S07E08,0.168
S07E09,0.24719101123595505
S07E10,0.13043478260869565
S07E11,0.3983050847457627
S07E12,0.08181818181818182
S07E13,0.14130434782608695
S07E14,0.3877551020408163
S07E15,0.03296703296703297
S07E16,0.15625
S07E17,0.10126582278481013
S07E18,0.15384615384615385
S07E19,0.4460431654676259
S07E20,0.1958762886597938
S07E21,0.030927835051546393
S07E22,0.10588235294117647
S07E23,0.2222222222222222
S07E24,0.32
S08E01,0.23255813953488372
S08E02,0.2047244094488189
S08E03,0.2967741935483871
S08E04,-0.09844559585492228
S08E05,0.3
S08E06,0.1134020618556701
S08E07,0.22164948453608246
S08E08,0.1721311475409836
S08E09,0.29457364341085274
S08E10,0.05325443786982249
S08E11,0.21014492753623187
S08E12,0.2206896551724138
S08E13,-0.019736842105263157
S08E14,0.16216216216216217
S08E15,0.22077922077922077
S08E16,0.1464968152866242
S08E17,-0.18791946308724833
S08E18,0.12727272727272726
S08E19,0.31
S08E20,0.09523809523809523
S08E21,0.17692307692307693
S08E22,0.44329896907216493
S09E01,0.16
S09E02,0.125
S09E03,0.41566265060240964
S09E04,0.272
S09E05,0.35294117647058826
S09E06,0.35570469798657717
S09E07,0.17391304347826086
S09E08,-0.07368421052631578
S09E09,0.19883040935672514
S09E10,0.20270270270270271
S09E11,0.16853932584269662
S09E12,0.5639097744360902
S09E13,0.2641509433962264
S09E14,0.06735751295336788
S09E15,0.41379310344827586
S09E16,0.05737704918032787
S09E17,-0.19463087248322147
S09E18,0.3389830508474576
S09E19,0.32075471698113206
S09E20,0.2463768115942029
S09E23,0.17061611374407584
